CreditScore,Gender,Age,Tenure,HasCrCard,EstimatedSalary,IsActiveMember
715,Male,35,2,1,60407.93,1
737,Male,41,1,1,123547.28,1
752,Female,37,5,1,132467.54,1
529,Male,30,2,1,75285.47,0
649,Female,36,2,0,75035.48,1
693,Female,34,10,0,154631.35,0
568,Female,31,1,1,61796.64,1
582,Male,29,4,0,156153.27,0
850,Female,27,7,1,3025.49,1
432,Female,27,6,0,53874.67,0
754,Female,47,1,1,27438.83,0
710,Female,31,3,1,112289.06,1
577,Female,32,1,1,9902.39,0
600,Male,43,8,1,177378.66,0
615,Male,42,4,0,120321.09,1
563,Male,26,7,0,6139.74,0
692,Male,46,2,1,105983.09,1
850,Male,43,0,1,184044.8,0
367,Male,42,6,1,168816.73,0
499,Female,28,4,1,22001.91,1
588,Female,22,9,1,163534.75,1
790,Male,46,2,1,180290.68,1
806,Female,59,0,1,182822.5,0
431,Male,63,6,1,168008.17,1
579,Male,49,4,1,123535.05,1
521,Female,49,2,1,182765.14,1
741,Female,42,9,1,39122.58,0
597,Male,61,5,1,81299.17,1
512,Male,40,5,1,146457.83,1
733,Male,34,3,1,48559.19,0
750,Female,52,6,1,126233.18,0
513,Female,41,9,1,160546.58,1
706,Male,36,9,1,40774.01,0
610,Male,42,6,1,158302.59,0
506,Male,50,3,1,12016.79,0
611,Male,46,6,1,45886.33,0
635,Female,27,8,1,152916.05,1
727,Male,47,7,1,193305.35,0
501,Male,35,6,1,13591.52,1
782,Female,72,5,1,2605.65,0
774,Female,41,5,1,102426.06,0
651,Female,25,2,1,114566.47,0
808,Female,33,2,1,113907.8,0
489,Female,47,8,1,107625.46,1
510,Male,63,8,1,115291.86,1
777,Male,36,7,1,106472.34,0
692,Female,34,4,1,37898.91,1
826,Female,30,5,0,157397.57,1
733,Female,33,7,0,190430.81,1
554,Female,54,6,1,40914.32,0
755,Male,62,1,0,142377.69,1
606,Male,33,8,1,63176.77,1
554,Female,30,9,1,40320.3,1
586,Female,28,5,1,170487.4,0
670,Male,36,7,0,59571.5,0
737,Male,43,8,0,10209.8,0
464,Female,42,3,1,164104.74,1
738,Male,58,2,1,28373.86,0
559,Male,52,2,1,129013.59,0
